threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
1.5,0.8418841884188419,0.902555910543131,0.436461954422557,0.5883884405102838,0.9835357624831309,7288,122,1459,1130
1.525,0.8421842184218422,0.902788844621514,0.43762070297412126,0.5894901144640999,0.9835357624831309,7288,122,1456,1133
1.55,0.8425842584258426,0.9030976965845909,0.4391657010428737,0.590956340956341,0.9835357624831309,7288,122,1452,1137
1.575,0.8428842884288429,0.9033280507131537,0.440324449594438,0.5920540119449493,0.9835357624831309,7288,122,1449,1140
1.6,0.8431843184318432,0.9022852639873916,0.44225569718037855,0.5935717988595127,0.9832658569500675,7286,124,1444,1145
1.625,0.8435843584358436,0.9019607843137255,0.44418694476631904,0.5952380952380952,0.9831309041835358,7285,125,1439,1150
1.65,0.8438843884388438,0.9015625,0.44573194283507145,0.5965365727578186,0.982995951417004,7284,126,1435,1154
1.675,0.8442844284428442,0.9,0.4484356894553882,0.5986078886310905,0.9825910931174089,7281,129,1428,1161
1.7,0.8444844484448445,0.8995363214837713,0.4495944380069525,0.5995364408962143,0.9824561403508771,7280,130,1425,1164
1.725,0.8454845484548454,0.8996937212863706,0.45384318269602164,0.6033376123234917,0.9823211875843455,7279,131,1414,1175
1.75,0.8462846284628462,0.8990895295902883,0.45770567786790267,0.6066035321218326,0.982051282051282,7277,133,1404,1185
1.775,0.8465846584658466,0.8981132075471698,0.45963692545384316,0.6080735820132857,0.9817813765182186,7275,135,1399,1190
1.8,0.8473847384738474,0.8975317875841436,0.46349942062572425,0.6113092205807438,0.9815114709851552,7273,137,1389,1200
1.825,0.8486848684868487,0.8973412112259971,0.46929316338354576,0.6162820187674359,0.9812415654520917,7271,139,1374,1215
1.85,0.8494849484948495,0.8956204379562044,0.473928157589803,0.6198534983581713,0.980701754385965,7267,143,1362,1227
1.875,0.8501850185018501,0.893294881038212,0.47856315179606024,0.6232394366197183,0.9800269905533063,7262,148,1350,1239
1.9,0.8507850785078508,0.8898365316275764,0.4835843955195056,0.6266266266266266,0.9790823211875843,7255,155,1337,1252
1.925,0.8516851685168517,0.8877980364656382,0.48899188876013905,0.6306351183063512,0.9784075573549258,7250,160,1323,1266
1.95,0.8529852985298529,0.8855961405926946,0.49633062958671303,0.6361386138613861,0.9775978407557355,7244,166,1304,1285
1.975,0.8534853485348535,0.8781965006729475,0.5040556199304751,0.6404907975460122,0.9755735492577597,7229,181,1284,1305
2.0,0.8548854885488549,0.8748353096179183,0.5129393588258014,0.6467007548088629,0.9743589743589743,7220,190,1261,1328
2.025,0.8576857685768576,0.8761290322580645,0.5245268443414446,0.6561971490698236,0.974089068825911,7218,192,1231,1358
2.05,0.8592859285928592,0.8731060606060606,0.5341830822711472,0.6628324946081955,0.9728744939271255,7209,201,1206,1383
2.075,0.8604860486048604,0.8689740420271941,0.5430668211664735,0.6684097932018065,0.9713900134952766,7198,212,1183,1406
2.1,0.8613861386138614,0.8652094717668488,0.5504055619930475,0.6728045325779037,0.9700404858299595,7188,222,1164,1425
2.125,0.862086208620862,0.8584123222748815,0.5596755504055619,0.6775777414075287,0.9677462887989203,7171,239,1140,1449
2.15,0.8626862686268627,0.8534883720930233,0.567014291232136,0.6813645857507542,0.965991902834008,7158,252,1121,1468
2.175,0.8633863386338634,0.8480364257256687,0.5755117806102742,0.6856879889553612,0.9639676113360324,7143,267,1099,1490
2.2,0.863986398639864,0.8427216954824317,0.5836230204712244,0.6896394340483797,0.9619433198380567,7128,282,1078,1511
2.225,0.8647864786478647,0.8385331143951834,0.5917342603321746,0.6938405797101449,0.9601889338731444,7115,295,1057,1532
2.25,0.8647864786478647,0.8312801285484734,0.5994592506759366,0.696588868940754,0.9574898785425101,7095,315,1037,1552
2.275,0.8650865086508651,0.8249475890985325,0.607956740054075,0.7000222370469201,0.9549257759784076,7076,334,1015,1574
2.3,0.8655865586558655,0.8187403993855606,0.6176129779837776,0.7040951122853368,0.9522267206477733,7056,354,990,1599
2.325,0.8667866786678667,0.8134663341645886,0.6299729625337969,0.7100565955594254,0.949527665317139,7036,374,958,1631
2.35,0.8660866086608661,0.8063725490196079,0.6353804557744303,0.7107366601857853,0.946693657219973,7015,395,944,1645
2.375,0.8659865986598659,0.799807969275084,0.6434916956353804,0.7131849315068494,0.9437246963562753,6993,417,923,1666
2.4,0.8658865886588659,0.7943396226415095,0.6504441869447664,0.7152261626672329,0.9411605937921728,6974,436,905,1684
2.425,0.8643864386438644,0.7829279486002754,0.6589416763229046,0.7156040268456376,0.9361673414304993,6937,473,883,1706
2.45,0.8636863686368637,0.7763751127141569,0.6651216685979142,0.7164551695444143,0.9330634278002699,6914,496,867,1722
2.475,0.8631863186318632,0.7683516483516484,0.675164156044805,0.71875,0.9288798920377868,6883,527,841,1748
2.5,0.862986298629863,0.7614757614757615,0.6855928930088837,0.7215447154471545,0.924966261808367,6854,556,814,1775
2.5250000000000004,0.861986198619862,0.7528230865746549,0.6952491309385863,0.7228915662650602,0.9202429149797571,6819,591,789,1800
2.55,0.8607860786078608,0.7451863990167964,0.7025878717651602,0.7232604373757455,0.916059379217274,6788,622,770,1819
2.575,0.8605860586058606,0.7392871445734882,0.7130166087292391,0.7259142744789618,0.9121457489878543,6759,651,743,1846
2.6,0.8587858785878588,0.7317841669948799,0.7176516029354963,0.7246489859594384,0.9080971659919028,6729,681,731,1858
2.625,0.8578857885788579,0.7251349267540478,0.7265353418308227,0.7258344588076404,0.903778677462888,6697,713,708,1881
2.6500000000000004,0.8564856485648565,0.7183951551854656,0.7331015836230205,0.7256738673293825,0.8995951417004049,6666,744,691,1898
2.675,0.8544854485448545,0.7109375,0.7381228273464658,0.7242751563388289,0.8951417004048583,6633,777,678,1911
2.7,0.8521852185218521,0.7026632615833638,0.7439165701042874,0.7227016885553471,0.8900134952766532,6595,815,663,1926
2.725,0.8508850885088509,0.6962115796997855,0.7524140594824257,0.7232225728605903,0.8852901484480432,6560,850,641,1948
2.75,0.8480848084808481,0.686932215234102,0.7593665507918115,0.7213355347642635,0.8790823211875843,6514,896,623,1966
2.7750000000000004,0.8457845784578458,0.6790968183373247,0.7667052916183855,0.7202467343976778,0.8734143049932523,6472,938,604,1985
2.8,0.8428842884288429,0.6705764075067024,0.7728852838933952,0.7181051498295352,0.8673414304993252,6427,983,588,2001
2.825,0.8383838383838383,0.6593514575827055,0.7775202780996524,0.7135767458348103,0.8596491228070176,6370,1040,576,2013
2.85,0.8348834883488349,0.6506101477199743,0.7825415218230978,0.7105032439067157,0.8531713900134953,6322,1088,563,2026
2.875,0.831983198319832,0.6432398361172392,0.7883352645809193,0.7084345713293995,0.8472334682860999,6278,1132,548,2041
2.9000000000000004,0.8282828282828283,0.6349009900990099,0.7925840092699884,0.7050334993987287,0.8407557354925776,6230,1180,537,2052
2.925,0.8248824882488249,0.627123786407767,0.7983777520278099,0.7024638912489379,0.8341430499325236,6181,1229,522,2067
2.95,0.8216821682168217,0.6201550387596899,0.8033989957512553,0.6999831734814067,0.8280701754385965,6136,1274,509,2080
2.975,0.8192819281928193,0.6148648648648649,0.8084202394747007,0.6984815618221258,0.823076923076923,6099,1311,496,2093
3.0,0.8158815881588158,0.608092485549133,0.8126689841637698,0.6956521739130435,0.8170040485829959,6054,1356,485,2104
3.0250000000000004,0.8121812181218122,0.6012532042153232,0.8153727307840866,0.6921311475409836,0.8110661268556005,6010,1400,478,2111
3.05,0.8090809080908091,0.5955593029792018,0.8184627269215914,0.6894420042297056,0.8058029689608637,5971,1439,470,2119
3.075,0.8047804780478047,0.5878136200716846,0.8234839706450366,0.685971685971686,0.7982456140350878,5915,1495,457,2132
3.1,0.8006800680068007,0.5810222947253942,0.8254152182309772,0.6819850007978299,0.7920377867746289,5869,1541,452,2137
3.125,0.7955795579557956,0.5728025647876035,0.8281189648512939,0.677195198989261,0.7842105263157895,5811,1599,445,2144
3.1500000000000004,0.7916791679167917,0.5666140073723012,0.8312089609887988,0.6738687959918584,0.777867746288799,5764,1646,437,2152
3.175,0.7875787578757876,0.5603112840466926,0.8342989571263036,0.6703910614525139,0.771255060728745,5715,1695,429,2160
3.2,0.7833783378337834,0.5540782408591153,0.8370027037466203,0.6667692307692308,0.7646423751686909,5666,1744,422,2167
3.225,0.7792779277927793,0.548110831234257,0.8404789494013133,0.6635157798444885,0.7578947368421053,5616,1794,413,2176
3.25,0.7755775577557755,0.5427721299280932,0.8455001931247585,0.6611295681063123,0.7511470985155195,5566,1844,400,2189
3.2750000000000004,0.7722772277227723,0.5381418092909536,0.8501351873310158,0.6590807007036982,0.7450742240215924,5521,1889,388,2201
3.3,0.7691769176917692,0.5340440998303853,0.8512939358825802,0.6563430613460393,0.7404858299595142,5487,1923,385,2204
3.325,0.7651765176517652,0.5287933094384707,0.8547701815372731,0.6533805727782699,0.7338731443994602,5438,1972,376,2213
3.35,0.7615761576157616,0.5242145050791401,0.8570876786404017,0.6505423629434184,0.7282051282051282,5396,2014,370,2219
3.375,0.757075707570757,0.5186567164179104,0.8590189262263422,0.6467936600261742,0.7214574898785425,5346,2064,365,2224
3.4000000000000004,0.7532753275327533,0.5140617796219455,0.8613364233294708,0.6438573697127183,0.7155195681511471,5302,2108,359,2230
3.425,0.7498749874987499,0.5100227790432802,0.8648126689841638,0.6416392033242585,0.7097165991902834,5259,2151,350,2239
3.45,0.7457745774577458,0.5052939851317865,0.8663576670529162,0.6383039271485487,0.7036437246963563,5214,2196,346,2243
3.475,0.7418741874187419,0.5008912655971479,0.8682889146388567,0.6352974424191041,0.6977058029689609,5170,2240,341,2248
3.5,0.7378737873787379,0.4964726631393298,0.8698339127076091,0.632140350877193,0.6917678812415654,5126,2284,337,2252
3.525,0.7328732873287329,0.4910753156290814,0.8713789107763615,0.6281497981344842,0.6844804318488529,5072,2338,333,2256
3.5500000000000003,0.7292729272927293,0.48731182795698924,0.8752414059482425,0.6260533222820832,0.6782726045883941,5026,2384,323,2266
3.575,0.7257725772577258,0.48373378694450353,0.8787176516029355,0.6239714755896874,0.6723346828609986,4982,2428,314,2275
3.6,0.7224722472247225,0.48042105263157897,0.8814213982232523,0.6218830903392832,0.6669365721997301,4942,2468,307,2282
3.625,0.7178717871787179,0.47582325969153816,0.8818076477404403,0.6181129010423717,0.6605937921727395,4895,2515,306,2283
3.65,0.7155715571557155,0.4736079486648727,0.8837388953263808,0.6167115902964959,0.6568151147098515,4867,2543,301,2288
3.6750000000000003,0.7103710371037104,0.468602986295766,0.8848976438779451,0.6127306766515112,0.6493927125506073,4812,2598,298,2291
3.7,0.705970597059706,0.4644664911925491,0.8860563924295095,0.6094580233793836,0.6430499325236168,4765,2645,295,2294
3.725,0.7014701470147015,0.460352422907489,0.8879876400154499,0.6063563233548728,0.636302294197031,4715,2695,290,2299
3.75,0.6977697769776978,0.4570180663093111,0.8891463885670143,0.6037241017571466,0.6309041835357625,4675,2735,287,2302
3.775,0.693969396939694,0.45370552388441127,0.8914638856701429,0.6013548723293382,0.6249662618083671,4631,2779,281,2308
3.8000000000000003,0.6904690469046905,0.4507782101167315,0.8949401313248359,0.5995600983309614,0.6190283400809716,4587,2823,272,2317
3.825,0.686068606860686,0.4470338983050847,0.8964851293935883,0.5965814162704023,0.6125506072874494,4539,2871,268,2321
3.85,0.6815681568156816,0.4432793136320305,0.8980301274623407,0.5935665049782998,0.6059379217273954,4490,2920,264,2325
3.875,0.6774677467746775,0.4399546827794562,0.8999613750482812,0.5909955611921369,0.5997300944669366,4444,2966,259,2330
3.9000000000000004,0.6741674167416741,0.43732433951658234,0.9015063731170336,0.5889477668433005,0.5947368421052631,4407,3003,255,2334
3.9250000000000003,0.6708670867086709,0.4346855228879792,0.9022788721514098,0.5867135501695341,0.5900134952766531,4372,3038,253,2336
3.95,0.6652665266526653,0.43035648658581405,0.9045963692545385,0.5832399452123024,0.581646423751687,4310,3100,247,2342
3.975,0.6619661966196619,0.42789425706472195,0.906527616840479,0.5813723061679464,0.5765182186234817,4272,3138,242,2347
4.0,0.6579657965796579,0.4249051147659498,0.9080726149092314,0.5789214479192317,0.5705802968960864,4228,3182,238,2351
4.025,0.652965296529653,0.4212126632087283,0.9096176129779838,0.5757946210268948,0.5632928475033738,4174,3236,234,2355
4.050000000000001,0.6482648264826483,0.4177304964539007,0.9100038624951718,0.5726090655000607,0.5568151147098516,4126,3284,233,2356
4.075,0.6438643864386439,0.414496833216045,0.9100038624951718,0.5695636407590958,0.5508771929824562,4082,3328,233,2356
4.1,0.63996399639964,0.41173389209009953,0.9107763615295481,0.5670995670995671,0.5453441295546558,4041,3369,231,2358
4.125,0.637063706370637,0.4098786828422877,0.9134801081498648,0.5658571599473621,0.5404858299595142,4005,3405,224,2365
4.15,0.6331633163316331,0.40741376351467307,0.9169563538045578,0.5641634980988594,0.534008097165992,3957,3453,215,2374
4.175000000000001,0.6296629662966297,0.4050783912747103,0.918115102356122,0.5621378739505735,0.5288798920377867,3919,3491,212,2377
4.2,0.6265626562656266,0.40308109023192823,0.9196601004248744,0.5604990583804144,0.5241565452091768,3884,3526,208,2381
4.225,0.6224622462246224,0.400369623655914,0.9204325994592507,0.5580142840416813,0.5183535762483131,3841,3569,206,2383
4.25,0.6178617861786179,0.39736754415194936,0.9212050984936269,0.5552322197648702,0.5118758434547909,3793,3617,204,2385
4.275,0.6140614061406141,0.39490235021516057,0.921591348010815,0.5528907426717645,0.506612685560054,3754,3656,203,2386
4.300000000000001,0.6101610161016101,0.3924404272801972,0.9223638470451911,0.550611021443394,0.5010796221322538,3713,3697,201,2388
4.325,0.6075607560756076,0.3908778813143698,0.9235225955967555,0.549276361130255,0.497165991902834,3684,3726,198,2391
4.35,0.6038603860386038,0.3886363636363636,0.9246813441483198,0.5472625442907761,0.49176788124156545,3644,3766,195,2394
4.375,0.6001600160016002,0.38642592294051265,0.9258400926998841,0.5452684258416742,0.4863697705802969,3604,3806,192,2397
4.4,0.5962596259625963,0.38412291933418696,0.9269988412514485,0.5431707593074573,0.4807017543859649,3562,3848,189,2400
4.425000000000001,0.5916591659165916,0.38139091775166717,0.9277713402858246,0.5405648700348824,0.47422402159244265,3514,3896,187,2402
4.45,0.5874587458745875,0.37886435331230284,0.9277713402858246,0.5380221749356031,0.46855600539811065,3472,3938,187,2402
4.475,0.5834583458345834,0.3766050735984967,0.9289300888373889,0.5359331476323119,0.46275303643724697,3429,3981,184,2405
4.5,0.5802580258025802,0.3749611197511664,0.9312475859405176,0.534649074176738,0.45762483130904186,3391,4019,178,2411
4.525,0.5768576857685769,0.37322421247683757,0.9335650830436462,0.5332597904026476,0.4522267206477733,3351,4059,172,2417
4.550000000000001,0.5722572257225722,0.3706711615078149,0.9343375820780224,0.5307734503565551,0.445748987854251,3303,4107,170,2419
4.575,0.5686568656865687,0.36863761048460836,0.9343375820780224,0.5286853895749098,0.4408906882591093,3267,4143,170,2419
4.6,0.5651565156515651,0.36680296834772075,0.9354963306295867,0.5269799825935596,0.4357624831309042,3229,4181,167,2422
4.625,0.5625562556255626,0.365445499773858,0.936268829663963,0.5256994144437215,0.4319838056680162,3201,4209,165,2424
4.65,0.5597559755975597,0.36407257459889036,0.9378138277327154,0.5245193346295096,0.42766531713900136,3169,4241,161,2428
4.675000000000001,0.5566556655665567,0.36242912563413904,0.9382000772499034,0.5228715961683349,0.4233468286099865,3137,4273,160,2429
4.7,0.5537553755375537,0.36090895588890537,0.9385863267670915,0.5213473503540013,0.4192982456140351,3107,4303,159,2430
4.725,0.5501550155015501,0.358989511006057,0.9385863267670915,0.5193417396879675,0.4144399460188934,3071,4339,159,2430
4.75,0.5464546454645465,0.3570799059929495,0.9389725762842797,0.5173991699478557,0.4093117408906883,3033,4377,158,2431
4.775,0.5439543954395439,0.35594211372606344,0.9405175743530321,0.5164369034994698,0.4053981106612686,3004,4406,154,2435
