threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
4.800000000000001,0.5406540654065407,0.35436046511627906,0.9416763229045964,0.5149434998415884,0.40053981106612685,2968,4442,151,2438
4.825,0.5379537953795379,0.353187798178401,0.9436075704905369,0.5139911634756995,0.396221322537112,2936,4474,146,2443
4.85,0.5336533653365336,0.3510485492674519,0.943993820007725,0.5117788713223747,0.3902834008097166,2892,4518,145,2444
4.875,0.5306530653065307,0.3495853588790392,0.944380069524913,0.5102786183867265,0.3860998650472335,2861,4549,144,2445
4.9,0.5277527752775277,0.34827144686299616,0.9455388180764774,0.5090455396132252,0.38178137651821864,2829,4581,141,2448
4.925000000000001,0.5246524652465246,0.34678561314075335,0.9459250675936655,0.507512174904155,0.3774628879892038,2797,4613,140,2449
4.95,0.5217521752175217,0.34549809778779766,0.9470838161452299,0.5062977493289283,0.37314439946018896,2765,4645,137,2452
4.975,0.5182518251825182,0.3439338750350238,0.9482425646967941,0.5047805078647065,0.3680161943319838,2727,4683,134,2455
5.0,0.5151515151515151,0.3424466452782815,0.9482425646967941,0.5031768805083009,0.3638326585695007,2696,4714,134,2455
5.025,0.5128512851285129,0.3414396887159533,0.9490150637311703,0.5021972406745018,0.3604588394062078,2671,4739,132,2457
5.050000000000001,0.5101510151015102,0.3402076124567474,0.9494013132483584,0.5009170572651315,0.35668016194331986,2643,4767,131,2458
5.075,0.5076507650765076,0.33916758544652703,0.9505600617999227,0.4999492127983748,0.35290148448043185,2615,4795,128,2461
5.1,0.5038503850385039,0.33748972321183884,0.951332560834299,0.49822999898857084,0.3475033738191633,2575,4835,126,2463
5.125,0.5008500850085008,0.33624215980365424,0.9524913093858632,0.497027108737277,0.3430499325236167,2542,4868,123,2466
5.15,0.49814981498149813,0.33505364661143555,0.9528775589030514,0.4957797427652733,0.33927125506072875,2514,4896,122,2467
5.175000000000001,0.49544954495449545,0.33400919167342524,0.9544225569718038,0.4948432962851707,0.3350877192982456,2483,4927,118,2471
5.2,0.49194919491949196,0.33261658379250103,0.9559675550405562,0.4935194416749751,0.3298245614035088,2444,4966,114,2475
5.225,0.49034903490349036,0.33203805440171513,0.9571263035921205,0.49303621169916434,0.3272604588394062,2425,4985,111,2478
5.25,0.48724872487248727,0.33070971184631803,0.9575125531093086,0.4916212196331185,0.32294197031039135,2393,5017,110,2479
5.275,0.48394839483948393,0.32926019391685485,0.9575125531093086,0.49001779007709034,0.3184885290148448,2360,5050,110,2479
5.300000000000001,0.48024802480248024,0.3276955602536998,0.9578988026264967,0.48833316924288667,0.3133603238866397,2322,5088,109,2480
5.325,0.47704770477047703,0.32636148382004737,0.9582850521436849,0.4869002060641743,0.3089068825910931,2289,5121,108,2481
5.35,0.47354735473547355,0.3248657849941076,0.9582850521436849,0.4852337179737923,0.30418353576248314,2254,5156,108,2481
5.375,0.47034703470347033,0.32355625081475686,0.9586713016608729,0.4838206627680312,0.29973009446693655,2221,5189,107,2482
5.4,0.4679467946794679,0.3225932181369365,0.959057551178061,0.48279214466264825,0.2963562753036437,2196,5214,106,2483
5.425000000000001,0.46564656465646564,0.32167832167832167,0.9594438006952491,0.4818155368053535,0.2931174089068826,2172,5238,105,2484
5.45,0.46324632463246324,0.3208204334365325,0.9606025492468134,0.480997969248622,0.2894736842105263,2145,5265,102,2487
5.475,0.4604460446044604,0.3196658097686375,0.9606025492468134,0.47969910309576624,0.2856950067476383,2117,5293,102,2487
5.5,0.45744574457445747,0.31843790012804096,0.9606025492468134,0.4783152226175594,0.2816464237516869,2087,5323,102,2487
5.525,0.45514551455145513,0.31759601888477734,0.9613750482811897,0.47746019566468445,0.27827260458839403,2062,5348,100,2489
5.55,0.45264526452645265,0.3165861104044772,0.9613750482811897,0.47631805568845087,0.2748987854251012,2037,5373,100,2489
5.575,0.45014501450145017,0.3156293573329953,0.9617612977983777,0.4752815422790609,0.27139001349527664,2011,5399,99,2490
5.6000000000000005,0.44654465446544656,0.3142424624700391,0.9621475473155658,0.47375427919360974,0.2663967611336032,1974,5436,98,2491
5.625,0.44274427442744274,0.3127432517263026,0.9621475473155658,0.4720485124123555,0.2612685560053981,1936,5474,98,2491
5.65,0.44034403440344033,0.31180373012892726,0.9621475473155658,0.47097750047267917,0.258029689608637,1912,5498,98,2491
5.675,0.43824382438243825,0.31108060893436484,0.9629200463499421,0.4702442704894841,0.25492577597840754,1889,5521,96,2493
5.7,0.43584358435843584,0.31019900497512437,0.9633062958671301,0.4692821526013736,0.2515519568151147,1864,5546,95,2494
5.7250000000000005,0.43334333433343336,0.30937925907570313,0.9644650444186945,0.46848030018761727,0.24777327935222673,1836,5574,92,2497
5.75,0.43114311431143115,0.3085855466337245,0.9648512939358825,0.46761512542119055,0.2446693657219973,1813,5597,91,2498
5.775,0.42854285428542854,0.30764495875907916,0.9652375434530707,0.4665795369678865,0.24102564102564103,1786,5624,90,2499
5.8,0.42674267426742674,0.3070121576814442,0.9656237929702588,0.46589638464405514,0.23846153846153847,1767,5643,89,2500
5.825,0.4241424142414241,0.3060350104051904,0.9656237929702588,0.4647704034207102,0.2349527665317139,1741,5669,89,2500
5.8500000000000005,0.42164216421642164,0.3052439024390244,0.9667825415218231,0.4639911020483826,0.23117408906882592,1713,5697,86,2503
5.875,0.41914191419141916,0.3043636805639966,0.9671687910390112,0.4630177514792899,0.22766531713900134,1687,5723,85,2504
5.9,0.41654165416541655,0.3034524530587523,0.9675550405561993,0.4620066396163777,0.22402159244264508,1660,5750,84,2505
5.925,0.4146414641464146,0.3028032866118898,0.9679412900733874,0.4612977450529222,0.2213225371120108,1640,5770,83,2506
5.95,0.41204120412041206,0.30190269749518306,0.9683275395905755,0.4602956026806206,0.2176788124156545,1613,5797,82,2507
5.9750000000000005,0.4093409340934093,0.30097203888155527,0.9687137891077636,0.4592565464200696,0.21390013495276652,1585,5825,81,2508
6.0,0.4079407940794079,0.30046723373667183,0.9687137891077636,0.4586686174103877,0.21201079622132254,1571,5839,81,2508
6.025,0.40574057405740577,0.2996773808101326,0.9687137891077636,0.45774776419054575,0.20904183535762483,1549,5861,81,2508
6.05,0.40304030403040303,0.29876160990712075,0.9691000386249518,0.456721580049149,0.20526315789473684,1521,5889,80,2509
6.075,0.4002400240024002,0.297864768683274,0.9698725376593279,0.4557582357745712,0.20121457489878541,1491,5919,78,2511
6.1000000000000005,0.39733973397339734,0.2968435985341057,0.9698725376593279,0.4545619116582187,0.19730094466936574,1462,5948,78,2511
6.125,0.3949394939493949,0.29605185621685326,0.970258787176516,0.4536752754199025,0.19392712550607288,1437,5973,77,2512
6.15,0.39303930393039305,0.2953904045155221,0.970258787176516,0.4528982241052916,0.1913630229419703,1418,5992,77,2512
6.175,0.3915391539153915,0.29491843680319213,0.9706450366937042,0.4523852385238524,0.18920377867746288,1402,6008,76,2513
6.2,0.38923892389238923,0.29426900584795324,0.9718037852452684,0.4517461172457133,0.18569500674763834,1376,6034,73,2516
6.2250000000000005,0.387038703870387,0.29356193142057385,0.9721900347624566,0.45095404461166355,0.1825910931174089,1353,6057,72,2517
6.25,0.38553855385538555,0.2930974275404493,0.9725762842796446,0.4504472271914132,0.18043184885290148,1337,6073,71,2518
6.275,0.3842384238423842,0.29275092936802977,0.9733487833140209,0.4501205680092882,0.17840755735492578,1322,6088,69,2520
6.300000000000001,0.38183818381838186,0.2919369786839666,0.9733487833140209,0.44915782907049284,0.17516869095816465,1298,6112,69,2520
6.325,0.38023802380238025,0.2914450867052023,0.973735032831209,0.44861642494883885,0.1728744939271255,1281,6129,68,2521
6.3500000000000005,0.3779377937793779,0.29072046109510086,0.974121282348397,0.44779829545454547,0.16963562753036437,1257,6153,67,2522
6.375,0.37563756375637564,0.2899517130374799,0.974121282348397,0.4468857978205015,0.16653171390013496,1234,6176,67,2522
6.4,0.3732373237323732,0.2892022008253095,0.9745075318655851,0.4460355343410236,0.1631578947368421,1209,6201,66,2523
6.425000000000001,0.37073707370737075,0.2883758143787861,0.9745075318655851,0.44505203739636623,0.15978407557354926,1184,6226,66,2523
6.45,0.36833683368336834,0.2876837188105275,0.9752800308999614,0.4443075840225233,0.1562753036437247,1158,6252,64,2525
6.4750000000000005,0.36683668366836686,0.28728967712596637,0.9760525299343376,0.44391743522178306,0.15398110661268555,1141,6269,62,2527
6.5,0.36583658365836585,0.28706015891032916,0.9768250289687138,0.44372313360821125,0.15236167341430498,1129,6281,60,2529
6.525,0.36403640364036405,0.2865232163080408,0.977211278485902,0.4431211139329188,0.14979757085020243,1110,6300,59,2530
6.550000000000001,0.36263626362636264,0.28611801944381643,0.97759752800309,0.44267599475295144,0.14777327935222673,1095,6315,58,2531
6.575,0.3611361136113611,0.2856820489676182,0.9779837775202781,0.4421935033181977,0.1456140350877193,1079,6331,57,2532
6.6000000000000005,0.36023602360236023,0.28544061302681994,0.9783700270374662,0.44194364477013,0.14426450742240216,1069,6341,56,2533
6.625,0.3582358235823582,0.2847987407240837,0.9783700270374662,0.44117390925716277,0.14156545209176788,1049,6361,56,2533
6.65,0.35653565356535655,0.2842554146560431,0.9783700270374662,0.4405217391304348,0.13927125506072874,1032,6378,56,2533
6.675000000000001,0.35553555355535554,0.2839367783880731,0.9783700270374662,0.44013900955690705,0.13792172739541161,1022,6388,56,2533
6.7,0.3536353635363536,0.28338179378215167,0.9787562765546544,0.43951088370479574,0.13522267206477734,1002,6408,55,2534
6.7250000000000005,0.35223522352235226,0.282987273945077,0.9791425260718424,0.43907508443751625,0.1331983805668016,987,6423,54,2535
6.75,0.35043504350435045,0.2824682557362442,0.9795287755890305,0.43848880435722315,0.13063427800269906,968,6442,53,2536
6.775,0.3487348734873487,0.2819344080044469,0.9795287755890305,0.43784530386740333,0.12834008097165991,951,6459,53,2536
6.800000000000001,0.34683468346834684,0.28138864241348716,0.9799150251062186,0.4372253339077984,0.12564102564102564,931,6479,52,2537
6.825,0.34573457345734576,0.28114273059461853,0.9806875241405948,0.4370051635111876,0.12388663967611337,918,6492,50,2539
6.8500000000000005,0.34463446344634463,0.2808007078080071,0.9806875241405948,0.43659186656349414,0.12240215924426451,907,6503,50,2539
6.875,0.3426342634263426,0.28018097550209664,0.9806875241405948,0.4358424169599176,0.11970310391363023,887,6523,50,2539
6.9,0.34073407340734074,0.27964328966200597,0.9810737736577829,0.43522960932145305,0.11700404858299596,867,6543,49,2540
6.925000000000001,0.33953395339533954,0.279322853688029,0.981460023174971,0.43487934280335444,0.11524966261808367,854,6556,48,2541
6.95,0.33813381338133813,0.27889364504445174,0.981460023174971,0.43435897435897436,0.11336032388663968,840,6570,48,2541
6.9750000000000005,0.33763376337633766,0.27874067573497147,0.981460023174971,0.4341734301580521,0.1126855600539811,835,6575,48,2541
7.0,0.33663366336633666,0.2784352399737015,0.981460023174971,0.43380281690140843,0.11133603238866396,825,6585,48,2541
7.025,0.33483348334833485,0.27793570959982505,0.9818462726921592,0.4332339156369834,0.10877192982456141,806,6604,47,2542
7.050000000000001,0.3329332933293329,0.2773595199127114,0.9818462726921592,0.4325336055810788,0.10620782726045884,787,6623,47,2542
7.075,0.33163316331633164,0.27696665940292003,0.9818462726921592,0.43205574912891986,0.10445344129554655,774,6636,47,2542
7.1000000000000005,0.33013301330133016,0.27656334964654705,0.9822325222093472,0.431602172437203,0.10229419703103913,758,6652,46,2543
7.125,0.32853285328532855,0.27608294430572144,0.9822325222093472,0.43101694915254235,0.10013495276653171,742,6668,46,2543
7.15,0.3278327832783278,0.2759219088937093,0.9826187717265353,0.43085782030654585,0.099055330634278,734,6676,45,2544
7.175000000000001,0.3266326632663266,0.2756118691791206,0.9830050212437235,0.430516789308974,0.09730094466936572,721,6689,44,2545
7.2,0.32513251325132514,0.27526207716416295,0.9837775202780996,0.4301638236784327,0.09500674763832659,704,6706,42,2547
7.2250000000000005,0.32433243324332434,0.27512142471667567,0.9845500193124759,0.430065800573646,0.09365721997300945,694,6716,40,2549
7.25,0.32323232323232326,0.27479517033203965,0.9845500193124759,0.4296670880741677,0.09217273954116059,683,6727,40,2549
7.275,0.32203220322032206,0.2745372363323289,0.985322518346852,0.42942513256459897,0.0902834008097166,669,6741,38,2551
7.300000000000001,0.3209320932093209,0.2742126195850801,0.985322518346852,0.4290279179280188,0.08879892037786774,658,6752,38,2551
7.325,0.31963196319631965,0.2738299699441821,0.985322518346852,0.4285594288114238,0.08704453441295547,645,6765,38,2551
7.3500000000000005,0.3179317931793179,0.27333119039965714,0.985322518346852,0.42794833081697703,0.08475033738191633,628,6782,38,2551
7.375,0.31703170317031704,0.27306786555341467,0.985322518346852,0.42762551336853577,0.08353576248313091,619,6791,38,2551
7.4,0.31663166316631663,0.27295099507810827,0.985322518346852,0.4274821952241307,0.08299595141700405,615,6795,38,2551
7.425000000000001,0.31533153315331536,0.2725718559675179,0.985322518346852,0.42701707398727823,0.08124156545209177,602,6808,38,2551
7.45,0.31453145314531455,0.27243623946217055,0.9860950173812283,0.4269230769230769,0.07989203778677463,592,6818,36,2553
7.4750000000000005,0.3138313831383138,0.2722328854766475,0.9860950173812283,0.42667335171722237,0.07894736842105263,585,6825,36,2553
7.5,0.31293129312931295,0.27197187599872163,0.9860950173812283,0.42635270541082165,0.07773279352226721,576,6834,36,2553
7.525,0.3114311431143114,0.27158655891110167,0.9864812668984164,0.4259151171516718,0.07557354925775979,560,6850,35,2554
7.550000000000001,0.31093109310931094,0.2715393604589398,0.9872537659327926,0.42592901183136145,0.07462887989203779,553,6857,33,2556
7.575,0.30933093309330933,0.27107858733693924,0.9872537659327926,0.4253619570644034,0.07246963562753037,537,6873,33,2556
7.6000000000000005,0.3092309230923092,0.27124390760754397,0.988798764001545,0.42570882181757713,0.07179487179487179,532,6878,29,2560
7.625,0.3084308430843084,0.2710141858987931,0.988798764001545,0.42542584129621935,0.07071524966261808,524,6886,29,2560
7.65,0.30743074307430746,0.2707760625925143,0.9891850135187331,0.42516809164107244,0.06923076923076923,513,6897,28,2561
7.675000000000001,0.30703070307030705,0.27071005917159763,0.9895712630359212,0.4251223761719074,0.06855600539811066,508,6902,27,2562
7.7,0.30643064306430645,0.2705385427666315,0.9895712630359212,0.4249108549630981,0.06774628879892038,502,6908,27,2562
7.7250000000000005,0.30563056305630565,0.27031019202363366,0.9895712630359212,0.4246291538907765,0.06666666666666667,494,6916,27,2562
7.75,0.3049304930493049,0.2701107011070111,0.9895712630359212,0.42438297167467287,0.06572199730094468,487,6923,27,2562
7.775,0.30403040304030404,0.269854645038972,0.9895712630359212,0.42406687081022926,0.06450742240215925,478,6932,27,2562
7.800000000000001,0.30303030303030304,0.26957070707070707,0.9895712630359212,0.4237161994542297,0.06315789473684211,468,6942,27,2562
7.825,0.3019301930193019,0.26925906463478716,0.9895712630359212,0.42333113020489094,0.061673414304993256,457,6953,27,2562
7.8500000000000005,0.30143014301430143,0.2691661415668977,0.9899575125531093,0.4232515894641235,0.060863697705802966,451,6959,26,2563
7.875,0.30083008300830083,0.26899664147774976,0.9899575125531093,0.42304200709746637,0.06005398110661268,445,6965,26,2563
7.9,0.2998299829982998,0.26871461522331724,0.9899575125531093,0.4226931640141832,0.058704453441295545,435,6975,26,2563
7.925000000000001,0.2988298829882988,0.2684331797235023,0.9899575125531093,0.42234489577325535,0.05735492577597841,425,6985,26,2563
7.95,0.2984298429842984,0.26851464435146444,0.9915025106218617,0.4225862210881554,0.0562753036437247,417,6993,22,2567
7.9750000000000005,0.2978297829782978,0.2683462262178549,0.9915025106218617,0.4223776223776224,0.055465587044534415,411,6999,22,2567
8.0,0.29732973297329734,0.2682060390763766,0.9915025106218617,0.42220394736842104,0.054790823211875846,406,7004,22,2567
